post_name,company,date_posted,link
Ingénieur Aérodynamique CFD F/H (H/F),TSE,2024-07-01,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-a%C3%A9rodynamique-cfd-f-h-h-f-at-tse-3963434790?position=1&pageNum=0&refId=cWiIQwqtbjhXcR8Xc584iw%3D%3D&trackingId=OcYzOCiCKHoI8a9%2BDDGbSg%3D%3D&trk=public_jobs_jserp-result_search-card
INGENIEUR CALCULS AERODYNAMIQUES/THERMIQUES (H/F),ARIAL Industries,2024-04-12,https://fr.linkedin.com/jobs/view/ingenieur-calculs-aerodynamiques-thermiques-h-f-at-arial-industries-3895545219?position=2&pageNum=0&refId=cWiIQwqtbjhXcR8Xc584iw%3D%3D&trackingId=8KzwSGTSHE8Q4uMNsdngkQ%3D%3D&trk=public_jobs_jserp-result_search-card
Ingénieur simulation numérique – Secteur énergie – Paris (H/F),Astek,2024-07-13,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-simulation-num%C3%A9rique-%E2%80%93-secteur-%C3%A9nergie-%E2%80%93-paris-h-f-at-astek-3974626352?position=3&pageNum=0&refId=cWiIQwqtbjhXcR8Xc584iw%3D%3D&trackingId=QfqDT8BWeCR62RnScVgYKg%3D%3D&trk=public_jobs_jserp-result_search-card
Computational Fluid Dynamics combustion Specialist,aramco,2024-06-17,https://fr.linkedin.com/jobs/view/computational-fluid-dynamics-combustion-specialist-at-aramco-3952078817?position=4&pageNum=0&refId=cWiIQwqtbjhXcR8Xc584iw%3D%3D&trackingId=KPEVVPAf4N%2FWrRcDqSgXmQ%3D%3D&trk=public_jobs_jserp-result_search-card
Ingenieur Calculs Aerodynamiques - Thermiques H/F,ARIAL Industries,2024-06-30,https://fr.linkedin.com/jobs/view/ingenieur-calculs-aerodynamiques-thermiques-h-f-at-arial-industries-3964106779?position=5&pageNum=0&refId=cWiIQwqtbjhXcR8Xc584iw%3D%3D&trackingId=EvuV01Hi9ttEADnLFHGrUQ%3D%3D&trk=public_jobs_jserp-result_search-card
Ingénieur CFD thermique,LR TECHNOLOGIES - GROUPE,2024-06-25,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-cfd-thermique-at-lr-technologies-groupe-3798661966?position=6&pageNum=0&refId=cWiIQwqtbjhXcR8Xc584iw%3D%3D&trackingId=6A%2F88z%2F56DLQGZ51BK1%2BEQ%3D%3D&trk=public_jobs_jserp-result_search-card
INGENIEUR CALCUL FLUIDES CRYOGENIQUES (H/F),ARIAL Industries,2024-05-17,https://fr.linkedin.com/jobs/view/ingenieur-calcul-fluides-cryogeniques-h-f-at-arial-industries-3928575603?position=7&pageNum=0&refId=cWiIQwqtbjhXcR8Xc584iw%3D%3D&trackingId=oDDec8kDBmn3FLQ7sz6wjQ%3D%3D&trk=public_jobs_jserp-result_search-card
Ingenieur Calcul Fluides Cryogeniques H/F,ARIAL Industries,2024-06-30,https://fr.linkedin.com/jobs/view/ingenieur-calcul-fluides-cryogeniques-h-f-at-arial-industries-3964108523?position=8&pageNum=0&refId=cWiIQwqtbjhXcR8Xc584iw%3D%3D&trackingId=yHgC7ahp7dBwW6a9OEbwWg%3D%3D&trk=public_jobs_jserp-result_search-card
Ingénieur d'Études Cfd H/F,ES Recrut,2024-07-13,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-d-%C3%A9tudes-cfd-h-f-at-es-recrut-3975798446?position=9&pageNum=0&refId=cWiIQwqtbjhXcR8Xc584iw%3D%3D&trackingId=dB7O9oAYnUCXLhm%2FgLstXQ%3D%3D&trk=public_jobs_jserp-result_search-card
Ingénieur CFD,EUROCFD,2024-07-11,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-cfd-at-eurocfd-3595152732?position=10&pageNum=0&refId=cWiIQwqtbjhXcR8Xc584iw%3D%3D&trackingId=qzIGWjwZIY%2B7fRcUCVsNqA%3D%3D&trk=public_jobs_jserp-result_search-card
