post_name,company,date_posted,link
Simulationsingenieur Verfahrenstechnik (m/w/d),Akkodis,2024-07-12,https://de.linkedin.com/jobs/view/simulationsingenieur-verfahrenstechnik-m-w-d-at-akkodis-3973475378?position=1&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=Wog5PZ2rZ1f6Jb%2FV0fYBKw%3D%3D&trk=public_jobs_jserp-result_search-card
Working Student - Thermal Battery Design Engineer (m/f/d),Volocopter,2024-07-05,https://de.linkedin.com/jobs/view/working-student-thermal-battery-design-engineer-m-f-d-at-volocopter-3967902242?position=2&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=uu5ZLMb9HnbfYASpLAW90Q%3D%3D&trk=public_jobs_jserp-result_search-card
Loads and Aeroelastic Engineer,Cubiq Recruitment,2024-07-11,https://de.linkedin.com/jobs/view/loads-and-aeroelastic-engineer-at-cubiq-recruitment-3949162439?position=3&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=oM5tisp7EZjHEkJIoYRwGg%3D%3D&trk=public_jobs_jserp-result_search-card
Research,Coatema Coating Machinery GmbH,2024-07-04,https://de.linkedin.com/jobs/view/research-at-coatema-coating-machinery-gmbh-3967034739?position=4&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=lmAdbhfdc%2FYAeXWKQ9yRQg%3D%3D&trk=public_jobs_jserp-result_search-card
Aerodynamicist,g2 Recruitment,2024-06-24,https://de.linkedin.com/jobs/view/aerodynamicist-at-g2-recruitment-3957742535?position=5&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=hq1gMviOpBU13I67KPxAjA%3D%3D&trk=public_jobs_jserp-result_search-card
Thermal Engineer (m/f/x),Mynaric,2024-07-09,https://de.linkedin.com/jobs/view/thermal-engineer-m-f-x-at-mynaric-3967486250?position=6&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=LurztBk%2BQfY0CJ3hOSc4BQ%3D%3D&trk=public_jobs_jserp-result_search-card
Mechanical Engineer (m/f/d),Universal Quantum,2024-07-07,https://de.linkedin.com/jobs/view/mechanical-engineer-m-f-d-at-universal-quantum-3968764900?position=8&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=XeCYzFLz04OA4zcQmkkt8w%3D%3D&trk=public_jobs_jserp-result_search-card
Propulsion System Engineer (all genders),VÆRIDION,2024-07-14,https://de.linkedin.com/jobs/view/propulsion-system-engineer-all-genders-at-v%C3%A6ridion-3974872289?position=9&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=3RXl2mgKfEZTCJPHgCOXJA%3D%3D&trk=public_jobs_jserp-result_search-card
Praktikum / Internship Thermische CFD-Simulation R and D,Kärcher,2024-03-05,https://de.linkedin.com/jobs/view/praktikum-internship-thermische-cfd-simulation-r-and-d-at-k%C3%A4rcher-3847096154?position=10&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=p8e6USEFM4P3ou2GTyWp6A%3D%3D&trk=public_jobs_jserp-result_search-card
Internship - CFD-DEM Simulation on battery-venting,AUDI AG,2024-06-25,https://de.linkedin.com/jobs/view/internship-cfd-dem-simulation-on-battery-venting-at-audi-ag-3959819011?position=11&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=OuEb87gOkLWMSrmp0L%2FDKw%3D%3D&trk=public_jobs_jserp-result_search-card
Simulationsingenieur Batterie,Brunel,2024-06-25,https://de.linkedin.com/jobs/view/simulationsingenieur-batterie-at-brunel-3959012813?position=12&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=uouPDONEgwV2IQ9lQCiySg%3D%3D&trk=public_jobs_jserp-result_search-card
Experte Energy Yield & Site Assessment – Onshore Wind (m/w/d),EDF Renewables Deutschland,2024-07-08,https://de.linkedin.com/jobs/view/experte-energy-yield-site-assessment-%E2%80%93-onshore-wind-m-w-d-at-edf-renewables-deutschland-3969818745?position=13&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=QXZzGMgoxTpnQTYk9FGQeQ%3D%3D&trk=public_jobs_jserp-result_search-card
Simulationsingenieur (m/w/d),SEGULA Technologies,2024-07-10,https://de.linkedin.com/jobs/view/simulationsingenieur-m-w-d-at-segula-technologies-3971090457?position=14&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=Ovvjba6btvMPzCuCJqQfyg%3D%3D&trk=public_jobs_jserp-result_search-card
Maschinenbauingenieur/in (m/f/d),Universal Quantum,2024-07-08,https://de.linkedin.com/jobs/view/maschinenbauingenieur-in-m-f-d-at-universal-quantum-3968768257?position=15&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=IctN8KtOIfeDztzyjQZeRg%3D%3D&trk=public_jobs_jserp-result_search-card
Staff Engineer Compressor Aerodynamics (m/f/d),GE Aerospace,2024-07-14,https://de.linkedin.com/jobs/view/staff-engineer-compressor-aerodynamics-m-f-d-at-ge-aerospace-3883372168?position=16&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=GnO%2FPqAMyjWcA8tq7%2BqfRg%3D%3D&trk=public_jobs_jserp-result_search-card
"Development Engineer (f/m/d) Fluid Mechanics, Blading, Industrial Steam Turbine",Siemens Energy,2024-07-12,https://de.linkedin.com/jobs/view/development-engineer-f-m-d-fluid-mechanics-blading-industrial-steam-turbine-at-siemens-energy-3971184215?position=17&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=sr%2Bytq8FiUFV4v2EIJppLg%3D%3D&trk=public_jobs_jserp-result_search-card
"Praktikum im Bereich Forschung zum Thema ""CFD-Sonnensimulation Klimakanal"" ab August 2024",Mercedes-Benz AG,2024-06-26,https://de.linkedin.com/jobs/view/praktikum-im-bereich-forschung-zum-thema-cfd-sonnensimulation-klimakanal-ab-august-2024-at-mercedes-benz-ag-3959333591?position=18&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=x1s4%2BG6eQ%2BfPffJRj3rEXQ%3D%3D&trk=public_jobs_jserp-result_search-card
AVIATION - Thermal Engineer (f/m/d),DEKRA Arbeit Group Germany,2024-07-12,https://de.linkedin.com/jobs/view/aviation-thermal-engineer-f-m-d-at-dekra-arbeit-group-germany-3974965727?position=20&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=Zr2StmSh%2BPQ6KDCgwhYWPw%3D%3D&trk=public_jobs_jserp-result_search-card
Working Student Thermal Engineering (all genders),VÆRIDION,2024-05-31,https://de.linkedin.com/jobs/view/working-student-thermal-engineering-all-genders-at-v%C3%A6ridion-3937875397?position=22&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=Pf3B3xNNdaMUmXq2d3OC9A%3D%3D&trk=public_jobs_jserp-result_search-card
Aerodynamic Engineer for Turbocharger Turbines (m/f/d),BorgWarner,2024-07-10,https://de.linkedin.com/jobs/view/aerodynamic-engineer-for-turbocharger-turbines-m-f-d-at-borgwarner-3968863345?position=23&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=eL73s6qi2%2FoTk6c8oBJb8A%3D%3D&trk=public_jobs_jserp-result_search-card
Turbocharger Development Engineer,Audi F1 Project,2024-06-27,https://de.linkedin.com/jobs/view/turbocharger-development-engineer-at-audi-f1-project-3926271390?position=25&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=niDGC8N%2BBF04amwAjsSdVA%3D%3D&trk=public_jobs_jserp-result_search-card
(Sr.) ENGINEER AERODYNAMICS (M/F/D),Hyundai Motor Europe Technical Center GmbH,2024-05-03,https://de.linkedin.com/jobs/view/sr-engineer-aerodynamics-m-f-d-at-hyundai-motor-europe-technical-center-gmbh-3916532572?position=27&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=aYiBNsrAfbdaArVZdYo7cA%3D%3D&trk=public_jobs_jserp-result_search-card
Head of Computational Physics,Kelvion,2024-07-05,https://de.linkedin.com/jobs/view/head-of-computational-physics-at-kelvion-3926310837?position=28&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=BACBWr4yCXqdDzx9dmBksw%3D%3D&trk=public_jobs_jserp-result_search-card
Railway Running Dynamics Lead/Expert in Aachen Germany（m/w/d）,Empfehlungsbund Jobs,2024-07-13,https://de.linkedin.com/jobs/view/railway-running-dynamics-lead-expert-in-aachen-germany%EF%BC%88m-w-d%EF%BC%89-at-empfehlungsbund-jobs-3972124526?position=29&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=%2BXpLHj17OBC80ZzlMrHu6w%3D%3D&trk=public_jobs_jserp-result_search-card
Railway Running Dynamics Lead/Expert in Aachen Germany（m/w/d）,Empfehlungsbund Jobs,2024-07-15,https://de.linkedin.com/jobs/view/railway-running-dynamics-lead-expert-in-aachen-germany%EF%BC%88m-w-d%EF%BC%89-at-empfehlungsbund-jobs-3972842888?position=30&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=YazSEDQy0MZhP7JxuO2yhw%3D%3D&trk=public_jobs_jserp-result_search-card
"Systemingenieur (m/w/d) für Fluiddynamik, Akustik und Fluid-Struktur-Interaktion",Akkodis,2024-06-27,https://de.linkedin.com/jobs/view/systemingenieur-m-w-d-f%C3%BCr-fluiddynamik-akustik-und-fluid-struktur-interaktion-at-akkodis-3960646199?position=31&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=MesQjLIRPTVCrQuJXTWIJQ%3D%3D&trk=public_jobs_jserp-result_search-card
Railway Running Dynamics Lead/Expert in Aachen Germany（m/w/d）,Empfehlungsbund Jobs,2024-07-11,https://de.linkedin.com/jobs/view/railway-running-dynamics-lead-expert-in-aachen-germany%EF%BC%88m-w-d%EF%BC%89-at-empfehlungsbund-jobs-3970438797?position=33&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=NF7XhZu%2FNpv4NGLxlwocZg%3D%3D&trk=public_jobs_jserp-result_search-card
Railway Running Dynamics Lead/Expert in Aachen Germany（m/w/d）,Empfehlungsbund Jobs,2024-06-29,https://de.linkedin.com/jobs/view/railway-running-dynamics-lead-expert-in-aachen-germany%EF%BC%88m-w-d%EF%BC%89-at-empfehlungsbund-jobs-3963280150?position=34&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=dynYyplxDXES6%2FamQJ2Ztg%3D%3D&trk=public_jobs_jserp-result_search-card
Railway Running Dynamics Lead/Expert in Aachen Germany（m/w/d）,Empfehlungsbund Jobs,2024-07-10,https://de.linkedin.com/jobs/view/railway-running-dynamics-lead-expert-in-aachen-germany%EF%BC%88m-w-d%EF%BC%89-at-empfehlungsbund-jobs-3968311662?position=35&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=%2FJXa0yHrrNDk6I6jBOismA%3D%3D&trk=public_jobs_jserp-result_search-card
Berechnungsingenieur (w/m/d) Schwerpunkt thermomechanische FEM-Simulation EUV,TRUMPF,2024-07-15,https://de.linkedin.com/jobs/view/berechnungsingenieur-w-m-d-schwerpunkt-thermomechanische-fem-simulation-euv-at-trumpf-3973329830?position=36&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=KHPIvjU06l5bMyW4cdU8zA%3D%3D&trk=public_jobs_jserp-result_search-card
Electrochemical Modeling Engineer (m/f/d),Clarios,2024-06-25,https://de.linkedin.com/jobs/view/electrochemical-modeling-engineer-m-f-d-at-clarios-3665566885?position=37&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=8p3YmG%2FbzL3dWv3G0iMYOg%3D%3D&trk=public_jobs_jserp-result_search-card
Teamleiter* CFD / Strömungssimulation,EDAG Group,2023-09-28,https://de.linkedin.com/jobs/view/teamleiter-cfd-str%C3%B6mungssimulation-at-edag-group-3729406278?position=39&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=HGUFfdDoHyS6oNv20hFLlQ%3D%3D&trk=public_jobs_jserp-result_search-card
Advanced Lead Engineer - Thermal Systems Design (m/f/d) - remote option,GE Aerospace,2024-07-09,https://de.linkedin.com/jobs/view/advanced-lead-engineer-thermal-systems-design-m-f-d-remote-option-at-ge-aerospace-3881750120?position=41&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=jWAaHJCRZ9l2znSgFZGUkw%3D%3D&trk=public_jobs_jserp-result_search-card
Entwicklungsingenieur (m/w/d) Ultraschall-Durchflusssensorik,Engelmann Sensor GmbH,2024-07-03,https://de.linkedin.com/jobs/view/entwicklungsingenieur-m-w-d-ultraschall-durchflusssensorik-at-engelmann-sensor-gmbh-3966243536?position=42&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=hzgAFbbKA4WVNL3XQVMnWw%3D%3D&trk=public_jobs_jserp-result_search-card
Lead Engineer - Thermal Systems Design (m/f/d),GE Aerospace,2024-07-11,https://de.linkedin.com/jobs/view/lead-engineer-thermal-systems-design-m-f-d-at-ge-aerospace-3953536547?position=43&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=%2FSnyBMKfMyy1S9JXcL%2B0Rw%3D%3D&trk=public_jobs_jserp-result_search-card
Dual Study Program: Engineering - Mechanical Engineering B.Eng. 2025,Viessmann Climate Solutions,2024-07-12,https://de.linkedin.com/jobs/view/dual-study-program-engineering-mechanical-engineering-b-eng-2025-at-viessmann-climate-solutions-3974370959?position=44&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=%2B0jvJt0EccCLOuvXUosgbw%3D%3D&trk=public_jobs_jserp-result_search-card
Simulationsingenieur (m/w/d) Robotik,Schmieder GmbH,2024-06-24,https://de.linkedin.com/jobs/view/simulationsingenieur-m-w-d-robotik-at-schmieder-gmbh-3958402943?position=45&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=axMnfvjj3NwYql%2FHJK4Fyg%3D%3D&trk=public_jobs_jserp-result_search-card
Berechnungsingenieur (m/w/d) Schwerpunkt CFD,BRUSS,2024-06-06,N/A
Flight Dynamics Modelling and Simulation Engineer,Lilium,2024-07-03,https://de.linkedin.com/jobs/view/flight-dynamics-modelling-and-simulation-engineer-at-lilium-3963965002?position=47&pageNum=0&refId=yRkPXvCXvJ7QBc%2F49i2yIg%3D%3D&trackingId=nlu%2FJSGQ%2FiIoOHZTqCfzWQ%3D%3D&trk=public_jobs_jserp-result_search-card
