post_name,company,date_posted,link
Aerodynamicist,Mercedes-AMG PETRONAS Formula One Team,2024-07-12,https://uk.linkedin.com/jobs/view/aerodynamicist-at-mercedes-amg-petronas-formula-one-team-3954818658?position=1&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=KKxFaqHTcItvSSi7m3UgNQ%3D%3D&trk=public_jobs_jserp-result_search-card
Thermal Engineer,ZeroAvia,2024-04-12,https://uk.linkedin.com/jobs/view/thermal-engineer-at-zeroavia-3897977664?position=2&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=L%2BsoU5F4gSdjfwZzVwxppw%3D%3D&trk=public_jobs_jserp-result_search-card
Junior Aerodynamics Engineer,Red Bull Racing & Red Bull Technology,2024-07-02,https://uk.linkedin.com/jobs/view/junior-aerodynamics-engineer-at-red-bull-racing-red-bull-technology-3964313728?position=3&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=PBnROEw7JANqaNz9ZcyK1Q%3D%3D&trk=public_jobs_jserp-result_search-card
Computational Fluid Dynamics Engineer,Mane Contract Services,2024-07-12,https://uk.linkedin.com/jobs/view/computational-fluid-dynamics-engineer-at-mane-contract-services-3973489554?position=4&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=HY8YPVsUMuPDRhVb1%2Fk2nA%3D%3D&trk=public_jobs_jserp-result_search-card
Modelling and Simulation Engineer,Barocal,2024-07-15,https://uk.linkedin.com/jobs/view/modelling-and-simulation-engineer-at-barocal-3183784462?position=5&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=VP0hNFZAkWmTvwWnLjXp4Q%3D%3D&trk=public_jobs_jserp-result_search-card
Fire Engineer (£50k-£100k + 10% bonus on GP billings),ATK SOLUTIONS,2024-07-15,https://uk.linkedin.com/jobs/view/fire-engineer-%C2%A350k-%C2%A3100k-%2B-10%25-bonus-on-gp-billings-at-atk-solutions-3972888507?position=6&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=YI8l1Vt7ZjAqQ8fCTsrp9g%3D%3D&trk=public_jobs_jserp-result_search-card
Principal CFD Engineer,Electus Recruitment Solutions,2024-07-15,https://uk.linkedin.com/jobs/view/principal-cfd-engineer-at-electus-recruitment-solutions-3976815162?position=8&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=v0wr%2Bwp1KbDJnguFIEk4Sg%3D%3D&trk=public_jobs_jserp-result_search-card
Aerothermal Engineer,Williams Racing,2024-07-09,https://uk.linkedin.com/jobs/view/aerothermal-engineer-at-williams-racing-3952218684?position=9&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=lNI%2B3TauHqr7CmP0RFHztQ%3D%3D&trk=public_jobs_jserp-result_search-card
Project Engineer- Vibration & Integrity Engineering (Glasgow/Edinburgh),Xodus,2024-07-10,https://uk.linkedin.com/jobs/view/project-engineer-vibration-integrity-engineering-glasgow-edinburgh-at-xodus-3972048832?position=10&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=qXJAS0N102UNoe8Wpj28pg%3D%3D&trk=public_jobs_jserp-result_search-card
Aero Performance Engineer,Williams Racing,2024-07-12,https://uk.linkedin.com/jobs/view/aero-performance-engineer-at-williams-racing-3954889898?position=11&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=avxCEdOzYAlYyXamDX2rIQ%3D%3D&trk=public_jobs_jserp-result_search-card
