post_name,company,date_posted,link
Thermal Engineer,Arista Networks,2024-07-01,https://www.linkedin.com/jobs/view/thermal-engineer-at-arista-networks-3948655199?position=1&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=Y%2F6JxW9z4G7bLW4MrhbJKQ%3D%3D&trk=public_jobs_jserp-result_search-card
System Thermal Performance Engineer,Meta,2024-07-14,https://www.linkedin.com/jobs/view/system-thermal-performance-engineer-at-meta-3922738046?position=2&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=f3396BK7EFuP%2Fs4DfZpsNQ%3D%3D&trk=public_jobs_jserp-result_search-card
CFD Application Engineer,Flexcompute,2024-04-09,https://www.linkedin.com/jobs/view/cfd-application-engineer-at-flexcompute-3887664524?position=3&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=KjRnlE1fLokJmgP2jdm%2BBg%3D%3D&trk=public_jobs_jserp-result_search-card
Fluids Engineer,Upwing Energy,2024-06-21,https://www.linkedin.com/jobs/view/fluids-engineer-at-upwing-energy-3956375743?position=4&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=77rz7WkxS29s414CxUFycQ%3D%3D&trk=public_jobs_jserp-result_search-card
Computational Fluid Dynamics Analyst,Protingent,2024-07-12,https://www.linkedin.com/jobs/view/computational-fluid-dynamics-analyst-at-protingent-3970525659?position=5&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=0LveB%2BsdxgpzVijiOhLN8Q%3D%3D&trk=public_jobs_jserp-result_search-card
Hardware Thermal Engineer,Meta,2024-07-10,https://www.linkedin.com/jobs/view/hardware-thermal-engineer-at-meta-3970885834?position=6&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=8OHIk0O%2BO7C8mySwkpegPA%3D%3D&trk=public_jobs_jserp-result_search-card
CFD Engineer,Whisper Aero,2024-06-24,https://www.linkedin.com/jobs/view/cfd-engineer-at-whisper-aero-3958003722?position=7&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=%2FdHWVmLuGr2CI1pzSfJyDA%3D%3D&trk=public_jobs_jserp-result_search-card
Thermal Validation Engineer,Aivres,2024-06-24,https://www.linkedin.com/jobs/view/thermal-validation-engineer-at-aivres-3958557896?position=8&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=Z1AA34Ly7l699WmPqADIBA%3D%3D&trk=public_jobs_jserp-result_search-card
CFD Engineer Specialist,Kforce Inc,2024-07-10,https://www.linkedin.com/jobs/view/cfd-engineer-specialist-at-kforce-inc-3972073830?position=9&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=%2FUFFSzIE9ZpnCQ1ojSj7fw%3D%3D&trk=public_jobs_jserp-result_search-card
CFD Engineer,Carbon Clean,2024-05-13,https://www.linkedin.com/jobs/view/cfd-engineer-at-carbon-clean-3943850463?position=10&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=Sew801ZOJQhDjxr%2F%2BmEBUw%3D%3D&trk=public_jobs_jserp-result_search-card
CFD Engineer,DPR Solutions Inc,2024-05-16,https://www.linkedin.com/jobs/view/cfd-engineer-at-dpr-solutions-inc-3928330045?position=11&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=NFbwzMZ22XZGEModWgf8aw%3D%3D&trk=public_jobs_jserp-result_search-card
Engine CFD Analyst,LiquidPiston,2024-03-08,https://www.linkedin.com/jobs/view/engine-cfd-analyst-at-liquidpiston-3851011585?position=12&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=otLDK61nQPjCAGiXq5IUKQ%3D%3D&trk=public_jobs_jserp-result_search-card
CFD Engineer L2,Sapear Inc,2024-02-24,https://www.linkedin.com/jobs/view/cfd-engineer-l2-at-sapear-inc-3837715890?position=13&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=mnQVaaMeLrfhN%2BLJY1z%2B2g%3D%3D&trk=public_jobs_jserp-result_search-card
