post_name,company,date_posted,link
Ingénieur Thermique Industriel F/H,W Hunt,2024-07-15,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-thermique-industriel%C2%A0f-h-at-w-hunt-3976850456?position=1&pageNum=0&refId=hkj%2Bqw%2FIMszlI1AYu2wyHQ%3D%3D&trackingId=X%2Fm51qiKiSb7q4d%2BB%2FSZBg%3D%3D&trk=public_jobs_jserp-result_search-card
Ingénieur Aérodynamique CFD F/H (H/F),TSE,2024-07-01,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-a%C3%A9rodynamique-cfd-f-h-h-f-at-tse-3963434790?position=2&pageNum=0&refId=hkj%2Bqw%2FIMszlI1AYu2wyHQ%3D%3D&trackingId=%2B4VZYypDW8zVLQ64qptZxQ%3D%3D&trk=public_jobs_jserp-result_search-card
Ingénieur simulation numérique – Secteur énergie – Paris (H/F),Astek,2024-07-13,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-simulation-num%C3%A9rique-%E2%80%93-secteur-%C3%A9nergie-%E2%80%93-paris-h-f-at-astek-3974626352?position=3&pageNum=0&refId=hkj%2Bqw%2FIMszlI1AYu2wyHQ%3D%3D&trackingId=PJOkGUI5ByXkg4JY2XRE7w%3D%3D&trk=public_jobs_jserp-result_search-card
Ingénieur Thermique H/F,Vallourec,2024-06-26,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-thermique-h-f-at-vallourec-3959489056?position=4&pageNum=0&refId=hkj%2Bqw%2FIMszlI1AYu2wyHQ%3D%3D&trackingId=acVq2uQhLgpHZCKDHPnpuQ%3D%3D&trk=public_jobs_jserp-result_search-card
Computational Fluid Dynamics combustion Specialist,aramco,2024-06-17,https://fr.linkedin.com/jobs/view/computational-fluid-dynamics-combustion-specialist-at-aramco-3952078817?position=5&pageNum=0&refId=hkj%2Bqw%2FIMszlI1AYu2wyHQ%3D%3D&trackingId=kku1sJvfI4r38E0rZx5Zig%3D%3D&trk=public_jobs_jserp-result_search-card
Ingenieur Calculs Aerodynamiques - Thermiques H/F,ARIAL Industries,2024-06-30,https://fr.linkedin.com/jobs/view/ingenieur-calculs-aerodynamiques-thermiques-h-f-at-arial-industries-3964106779?position=6&pageNum=0&refId=hkj%2Bqw%2FIMszlI1AYu2wyHQ%3D%3D&trackingId=%2BZK%2B9UxOy1wR4yht1%2BiLew%3D%3D&trk=public_jobs_jserp-result_search-card
Ingénieur CFD thermique,LR TECHNOLOGIES - GROUPE,2024-06-25,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-cfd-thermique-at-lr-technologies-groupe-3798661966?position=7&pageNum=0&refId=hkj%2Bqw%2FIMszlI1AYu2wyHQ%3D%3D&trackingId=4o80N7nm%2BZREHZapTZDOlw%3D%3D&trk=public_jobs_jserp-result_search-card
Ingenieur Calcul Fluides Cryogeniques H/F,ARIAL Industries,2024-06-30,https://fr.linkedin.com/jobs/view/ingenieur-calcul-fluides-cryogeniques-h-f-at-arial-industries-3964108523?position=8&pageNum=0&refId=hkj%2Bqw%2FIMszlI1AYu2wyHQ%3D%3D&trackingId=TeP8PymDBkYADw5yHRu1zQ%3D%3D&trk=public_jobs_jserp-result_search-card
Ingénieur QEB - thermique,eEgénie,2024-07-15,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-qeb-thermique-at-eeg%C3%A9nie-3976656918?position=9&pageNum=0&refId=hkj%2Bqw%2FIMszlI1AYu2wyHQ%3D%3D&trackingId=BTJWcBpXqRAU5CillokrzQ%3D%3D&trk=public_jobs_jserp-result_search-card
Ingénieur CFD,EUROCFD,2024-07-11,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-cfd-at-eurocfd-3595152732?position=10&pageNum=0&refId=hkj%2Bqw%2FIMszlI1AYu2wyHQ%3D%3D&trackingId=uNIQGRd24ViAsI%2BaXUARWQ%3D%3D&trk=public_jobs_jserp-result_search-card
Ingénieur d'Études Cfd H/F,ES Recrut,2024-07-13,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-d-%C3%A9tudes-cfd-h-f-at-es-recrut-3975798446?position=11&pageNum=0&refId=hkj%2Bqw%2FIMszlI1AYu2wyHQ%3D%3D&trackingId=Dp%2Bf%2B5f4bNuRxNEb2gHgdg%3D%3D&trk=public_jobs_jserp-result_search-card
Process Simulation Engineer,Walker Lovell,2024-07-10,https://fr.linkedin.com/jobs/view/process-simulation-engineer-at-walker-lovell-3971003977?position=12&pageNum=0&refId=hkj%2Bqw%2FIMszlI1AYu2wyHQ%3D%3D&trackingId=nPMb1UE3GUtRHg57V8KMAg%3D%3D&trk=public_jobs_jserp-result_search-card
Ingénieur modélisation thermodynamique CFD,LR TECHNOLOGIES - GROUPE,2024-06-25,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-mod%C3%A9lisation-thermodynamique-cfd-at-lr-technologies-groupe-3879787724?position=13&pageNum=0&refId=hkj%2Bqw%2FIMszlI1AYu2wyHQ%3D%3D&trackingId=uPjdmWwJhmI5msM5KctYMQ%3D%3D&trk=public_jobs_jserp-result_search-card
LNG & Cryogenics Process Engineer M/F,TotalEnergies,2024-07-14,https://fr.linkedin.com/jobs/view/lng-cryogenics-process-engineer-m-f-at-totalenergies-3829887975?position=14&pageNum=0&refId=hkj%2Bqw%2FIMszlI1AYu2wyHQ%3D%3D&trackingId=8urqShFj0R57Q%2FOOoFUBLw%3D%3D&trk=public_jobs_jserp-result_search-card
